Sumber Data,Nama Atribut,Tipe Data,Definisi / Arti Bisnis,Satuan,Keterangan
pelanggan.csv,pelanggan_id,Kategori,Identitas unik yang digunakan untuk membedakan setiap pelanggan dalam sistem e-commerce.,-,Digunakan sebagai kunci untuk menghubungkan data pelanggan dengan orders.csv.
pelanggan.csv,nama,Teks,Nama pelanggan yang terdaftar pada sistem.,-,Data bersifat deskriptif dan tidak digunakan untuk perhitungan.
pelanggan.csv,email,Teks,Alamat email pelanggan yang digunakan sebagai informasi kontak.,-,Sebaiknya diperlakukan sebagai teks.
pelanggan.csv,alamat,Teks,Alamat tempat tinggal pelanggan.,-,Data lokasi dalam bentuk teks.
pelanggan.csv,kota,Kategori,Kota tempat pelanggan berdomisili.,-,Dapat digunakan untuk pengelompokan pelanggan berdasarkan wilayah.
pelanggan.csv,provinsi,Kategori,Provinsi tempat pelanggan berdomisili.,-,Dapat dibandingkan dengan data provinsi dari REST API.
pelanggan.csv,no_hp,Teks/Kategori,Nomor telepon pelanggan sebagai informasi kontak.,-,Sebaiknya disimpan sebagai teks agar format nomor tidak berubah.
produk.csv,produk_id,Kategori,Identitas unik yang digunakan untuk membedakan setiap produk.,-,Digunakan sebagai kunci untuk menghubungkan produk dengan detil_order.csv.
produk.csv,nama_produk,Teks,Nama produk yang tersedia atau dijual dalam sistem e-commerce.,-,Data deskriptif produk.
produk.csv,kategori,Kategori,Kelompok atau jenis produk berdasarkan klasifikasinya.,-,"Kategori yang ditemukan: Makanan, Minuman, Perawatan Tubuh, Bayi, Rokok, dan Alat Tulis."
produk.csv,harga,Numerik Kontinu,Harga jual untuk satu unit produk.,Rupiah (IDR),Dapat digunakan dalam perhitungan nilai transaksi.
produk.csv,stok,Numerik Diskrit,Jumlah unit produk yang tersedia dalam persediaan.,Unit,Nilainya berupa bilangan bulat.
orders.csv,order_id,Kategori,Identitas unik untuk setiap transaksi atau pesanan.,-,Digunakan sebagai kunci untuk menghubungkan orders.csv dengan detil_order.csv.
orders.csv,pelanggan_id,Kategori,Identitas pelanggan yang melakukan transaksi.,-,Merupakan penghubung ke pelanggan.csv.
orders.csv,tanggal,Timestamp,Tanggal terjadinya transaksi atau pesanan.,Tanggal,Rentang data yang diperiksa: 15 Januari 2024 sampai 30 November 2025.
orders.csv,total,Numerik Kontinu,Nilai total yang tercatat untuk suatu transaksi.,Rupiah (IDR),Dapat digunakan untuk analisis nilai transaksi.
orders.csv,status,Kategori,Kondisi atau status suatu pesanan dalam proses transaksi.,-,"Status yang ditemukan: selesai, dikirim, dibayar, dan dibatalkan."
detil_order.csv,detil_id,Kategori,Identitas unik untuk setiap detail transaksi.,-,Membedakan setiap baris detail pesanan.
detil_order.csv,order_id,Kategori,Identitas transaksi yang terkait dengan detail produk tersebut.,-,Merupakan penghubung ke orders.csv.
detil_order.csv,produk_id,Kategori,Identitas produk yang dibeli pada transaksi.,-,Merupakan penghubung ke produk.csv.
detil_order.csv,jumlah,Numerik Diskrit,Jumlah unit suatu produk yang dibeli dalam satu transaksi.,Unit,Nilai yang diperiksa berada pada rentang 1 sampai 5 unit.
detil_order.csv,subtotal,Numerik Kontinu,Nilai transaksi yang tercatat pada suatu detail produk.,Rupiah (IDR),Digunakan untuk merepresentasikan nilai detail pembelian.
provinces.json (REST API),code,Kategori,Kode identifikasi provinsi yang disediakan oleh REST API wilayah Indonesia.,-,Berasal dari endpoint GET /province.
provinces.json (REST API),province,Kategori,Nama provinsi yang terdapat dalam referensi wilayah administratif Indonesia.,-,Digunakan sebagai referensi data wilayah pelanggan.
